	Adult_AdrenalGland	Adult_Colon	Adult_Esophagus	Adult_GallBladder	Adult_Heart	Adult_Kidney	Adult_Liver	Adult_Lung	Adult_Ovary	Adult_Pancreas	Adult_Prostate	Adult_Rectum	Adult_Retina	Adult_SpinalCord	Adult_UrinaryBladder	Fetal_Brain	Fetal_Gut	Fetal_Heart	Fetal_Liver	Fetal_Placenta	Fetal_Testis	Immune_CD4	Immune_Monocyte	Immune_NK
GO:0030168	0	0	0	5.36019277026612	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.7049905212703	0	0	0	5.91450350597185
GO:0044236	0	0	0	10.3009844909951	0	9.3438717646007	0	7.81657399601759	0	7.41691562342907	6.86853456582886	13.1425660847218	0	0	0	0	0	0	0	0	0	0	0	0
GO:0044243	0	0	0	8.98719682066197	0	12.3499430159499	0	8.46365242448821	0	10.6006427544936	10.0200213687921	15.7887919038157	0	0	0	0	0	0	0	0	0	0	0	0
GO:0044259	0	0	0	10.8048896719165	0	9.84145216161668	0	8.26255097304266	0	6.28181684811564	7.38257046522509	13.5843988370009	0	0	0	0	0	0	0	0	0	0	0	0
GO:0032963	0	0	0	11.2352937283719	0	6.57128304236092	0	5.13449928131864	0	6.67664355801875	7.82404601085629	13.9616930681424	0	0	0	0	0	0	0	0	0	0	0	0
GO:0030574	0	0	0	9.56416224693251	0	8.76565455071474	0	5.17964583683054	0	9.35536614402644	10.7902194821687	16.4151548852227	0	0	0	0	0	0	0	0	0	0	0	0
KEGG:04974	0	0	0	5.1193347110196	0	5.5065723053685	0	0	0	17.1509201990884	0	16.0982930236621	0	0	0	0	22.8435293731465	0	0	0	0	0	0	0
KEGG:05150	0	0	0	19.2037526320403	0	0	0	19.8436390894438	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28.9780947638952	6.97710535711693
REAC:1474228	0	0	0	10.4761885800202	0	0	0	7.60290446221276	0	6.87819647674059	13.3708247367028	15.3953896681568	0	0	0	0	0	0	0	0	0	0	0	0
REAC:1592389	0	0	0	7.48045630646622	0	0	0	0	0	6.46950034805098	5.68692535758978	0	0	0	0	0	0	0	0	0	0	0	0	0
REAC:1474290	0	0	0	10.3718924604182	0	6.37126190846757	0	9.15207146385221	0	0	9.75679317338532	20.03513119821	0	0	0	0	0	0	0	7.59293428989291	0	0	0	0
REAC:2022090	0	0	0	12.9869587403981	0	8.15951874714442	0	13.7293328617232	0	7.07499119835805	8.41734785644652	17.8841873734378	0	0	0	0	0	0	0	0	0	0	0	0
REAC:1650814	0	0	0	5.20119065581731	0	0	0	0	0	0	5.05615580939807	19.6759468426659	0	0	0	0	0	0	0	6.81244509917781	0	0	0	0
REAC:140877	0	0	0	11.1141493450129	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.84009663050832	0	0	9.00332620259186	0
REAC:76005	0	0	0	9.79732735670774	0	0	0	7.05509586688085	0	0	0	0	0	0	0	0	0	0	0	8.35592504382011	0	0	9.98686916147518	0
